question_id,question_string,sparql_query,goldComparisonIRI,goldComparisonLabel,predicted_entity_label,cosine_scores,correct_predictions
HQ0013,What was the most common type of approach for summarization before 2002?,"SELECT ?approach ?approach_label
WHERE {
  orkgr:R6948 orkgp:compareContribution ?cont.
  ?cont orkgp:P15 ?implementation.
  ?implementation orkgp:P5043 ?approach.
  ?approach rdfs:label ?approach_label.
}
ORDER BY DESC(COUNT(?approach_label))
LIMIT 1",R6948,Summarization before 2002,"['Summarization before 2002', 'Summarization techniques', 'Recent summarization efforts']",[0.8186841  0.75431174 0.7377292 ],1
HQ0061,Which vegetables are utilized for betanin extraction?,"SELECT ?vegetables, ?vegetables_labels
WHERE {
  orkgr:R75363 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P35147 ?compounds.
  ?compounds rdfs:label ?compounds_labels.
  FILTER(REGEX(?compounds_labels, ""etanin""))
  ?contrib orkgp:P35148 ?vegetables.
  ?vegetables rdfs:label ?vegetables_labels.
}",R75363,Pulsed electric field (PEF) treatment for bioactive compounds extraction,"['Betanin', 'Nutrient extraction', 'Vegetables and their products']",[0.59633607 0.52660865 0.52005404],0
HQ0049,What is the average energy generation of all energy sources considered?,"SELECT (AVG(?elec_gen_value) AS ?average_elec_gen_value)
WHERE {
  orkgr:R153801 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P43135 ?energy_sources.
  ?energy_sources rdfs:label ?energy_sources_labels;
                  orkgp:P43134 ?electricity_generation.
  FILTER(REGEX(?energy_sources_labels, ""all sources""))
  ?electricity_generation orkgp:HAS_VALUE ?value.
  BIND(xsd:float(?value) AS ?elec_gen_value)
}",R153801,Comparison of Studies on Germany's Energy Supply in 2050,"['Reported Energy Generation [TWh] of Compared Studies for All Sources', 'Reported Energy Generation [TWh] of Compared Studies', 'Reported Energy Generation [TWh] of Compared Studies']",[0.7272678 0.6179595 0.6179595],0
HQ0002,"What is the scope of ""Decentralised Authoring, Annotations and Notifications for a Read-Write Web with Dokieli""?","SELECT ?scope 
WHERE {
  orkgr:R8364 orkgp:compareContribution ?cont.
  ?paper orkgp:P31 ?cont;
         rdfs:label ?title.
  ?cont orkgp:P7046 ?sys.
  ?sys orkgp:P7047 ?scope.
  FILTER(REGEX(STR(?title), ""Decentralised Authoring, Annotations and Notifications for a Read-Write Web with dokieli""))
}",R8364,Semantic representations of scholarly communication,"['Decentralised Authoring, Annotations and Notifications for a Read-Write Web with dokieli', 'Decentralised Authoring, Annotations and Notifications for a Read-Write Web with dokieli', 'The Publishing Workflow Ontology (PWO)']",[0.9214269  0.9214268  0.47891486],0
HQ0072,What is the most common drug in the studies?,"SELECT ?drug, ?drug_labels
WHERE {
  orkgr:R155621 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P37578 ?drug.
  ?drug rdfs:label ?drug_labels.
}
ORDER BY DESC(COUNT(?drug))
LIMIT 1",R155621,"Examples of cyclodextrin-containing formulations for drug delivery via ocular, nasal and pulmonary routes","['Drug Discovery', 'Experimental drug', 'Pharmacologic Substance']",[0.63069445 0.62583566 0.62392783],0
HQ0025,Which scholarly knowledge graphs support RDF?,"SELECT ?title
WHERE {
  orkgr:R78023 orkgp:compareContribution ?cont.
  ?cont orkgp:P7009 ?has_rdf.
  FILTER(REGEX(?has_rdf, ""T""))
  ?cont rdfs:label ?title
}",R78023,Comparison of scholarly knowledge graphs,"['Scholarly Knowledge Graphs', 'Scholarly Knowledge Graphs', 'Scholarly Knowledge Graphs']",[0.8062691 0.8062691 0.8062691],0
HQ0029,How many studies are published after 2019?,"SELECT (COUNT(?date) AS ?number_of_studies)
WHERE {
  orkgr:R110393 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P9040 ?date.
  filter(?date > ""2019""^^xsd:string)
}",R110393,The Use of Silicon Carbide Thin Films in Different Device Types,"['18 retrieved studies', 'Number of studied papers', 'number of publications']",[0.6469984  0.61406547 0.60820144],0
HQ0044,What is the total number of species examined in the studies?,"SELECT (SUM(?number) AS ?total)
WHERE {
  orkgr:R58002 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P31024 ?number_of_species.
  BIND(xsd:integer(?number_of_species) AS ?number)
}",R58002,Invasion Biology- Enemy release hypothesis,"['Potential number of undescribed species', 'Change in number of native species', 'Percentage change in number of native species']",[0.6879203  0.6581263  0.64100033],0
HQ0036,What is the full name of the EXPO ontology?,"SELECT ?full_name
WHERE {
  orkgr:R8342 orkgp:compareContribution ?cont.
  ?cont orkgp:P7034 ?ontology.
  ?ontology rdfs:label ?ont_lbl;
            orkgp:P7035 ?full_name. 
  FILTER(REGEX(STR(?ont_lbl), ""expo"", ""i""))
}",R8342,Ontologies for describing scholarly articles,"['ontology', 'ontology', 'Ontology']",[0.6320975 0.6320975 0.6320975],0
HQ0073,Do all studies include open ocean sampling?,"ASK {
  {
    SELECT (COUNT(?ocean_sampling) AS ?counter)
    WHERE {
      orkgr:R155561 orkgp:compareContribution ?contrib.
      ?contrib orkgp:P41379 ?ocean_sampling.
      FILTER(?ocean_sampling = ""F""^^xsd:string)
    }
  }
  FILTER(?counter = 0)
}",R155561 ,Assessment of picophytoplankton abundance in the Ocean,"['Oceanography', 'Progress in Oceanography', 'Deep Sea Research Part A. Oceanographic Research Papers']",[0.56505543 0.5402488  0.5363519 ],0
