question_id,question_string,sparql_query,goldComparisonIRI,goldComparisonLabel,predicted_comparison_label,predicted_comparison_IRI,cosine_scores,correct_predictions
HQ0013,What was the most common type of approach for summarization before 2002?,"SELECT ?approach ?approach_label
WHERE {
  orkgr:R6948 orkgp:compareContribution ?cont.
  ?cont orkgp:P15 ?implementation.
  ?implementation orkgp:P5043 ?approach.
  ?approach rdfs:label ?approach_label.
}
ORDER BY DESC(COUNT(?approach_label))
LIMIT 1",R6948,Summarization before 2002,"['Summarization before 2002', 'Semantic representations of scholarly communication', 'Semantic representations of scholarly communication']","['R6948', 'R8364', 'R8364']",[0.81868416 0.29212445 0.29212445],1
HQ0061,Which vegetables are utilized for betanin extraction?,"SELECT ?vegetables, ?vegetables_labels
WHERE {
  orkgr:R75363 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P35147 ?compounds.
  ?compounds rdfs:label ?compounds_labels.
  FILTER(REGEX(?compounds_labels, ""etanin""))
  ?contrib orkgp:P35148 ?vegetables.
  ?vegetables rdfs:label ?vegetables_labels.
}",R75363,Pulsed electric field (PEF) treatment for bioactive compounds extraction,"['Pulsed electric field (PEF) treatment for bioactive compounds extraction', 'Toxins produced by phytopathogenic Pseudomonas species and pathovars', 'Examples of cyclodextrin-containing formulations for drug delivery via ocular, nasal and pulmonary routes']","['R75363', 'R69027', 'R155621']",[0.31580895 0.21628493 0.17624506],1
HQ0049,What is the average energy generation of all energy sources considered?,"SELECT (AVG(?elec_gen_value) AS ?average_elec_gen_value)
WHERE {
  orkgr:R153801 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P43135 ?energy_sources.
  ?energy_sources rdfs:label ?energy_sources_labels;
                  orkgp:P43134 ?electricity_generation.
  FILTER(REGEX(?energy_sources_labels, ""all sources""))
  ?electricity_generation orkgp:HAS_VALUE ?value.
  BIND(xsd:float(?value) AS ?elec_gen_value)
}",R153801,Comparison of Studies on Germany's Energy Supply in 2050,"[""Comparison of Studies on Germany's Energy Supply in 2050"", ""Comparison of Studies on Germany's Energy Supply in 2050"", ""Comparison of Studies on Germany's Energy Supply in 2050""]","['R153801', 'R153801', 'R153801']",[0.45773014 0.45773014 0.45773014],1
HQ0002,"What is the scope of ""Decentralised Authoring, Annotations and Notifications for a Read-Write Web with Dokieli""?","SELECT ?scope 
WHERE {
  orkgr:R8364 orkgp:compareContribution ?cont.
  ?paper orkgp:P31 ?cont;
         rdfs:label ?title.
  ?cont orkgp:P7046 ?sys.
  ?sys orkgp:P7047 ?scope.
  FILTER(REGEX(STR(?title), ""Decentralised Authoring, Annotations and Notifications for a Read-Write Web with dokieli""))
}",R8364,Semantic representations of scholarly communication,"['Ontologies for describing scholarly articles', 'Ontologies for describing scholarly articles', 'Ontologies for describing scholarly articles']","['R8342', 'R8342', 'R8342']",[0.3319203 0.3319203 0.3319203],0
HQ0072,What is the most common drug in the studies?,"SELECT ?drug, ?drug_labels
WHERE {
  orkgr:R155621 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P37578 ?drug.
  ?drug rdfs:label ?drug_labels.
}
ORDER BY DESC(COUNT(?drug))
LIMIT 1",R155621,"Examples of cyclodextrin-containing formulations for drug delivery via ocular, nasal and pulmonary routes","['Examples of cyclodextrin-containing formulations for drug delivery via ocular, nasal and pulmonary routes', 'Pilot mini collection of studies on libraries as third places.', 'Trends and methodological implications of psychodrama psychotherapy research']","['R155621', 'R110361', 'R44980']",[0.28183842 0.27690575 0.27017918],1
HQ0025,Which scholarly knowledge graphs support RDF?,"SELECT ?title
WHERE {
  orkgr:R78023 orkgp:compareContribution ?cont.
  ?cont orkgp:P7009 ?has_rdf.
  FILTER(REGEX(?has_rdf, ""T""))
  ?cont rdfs:label ?title
}",R78023,Comparison of scholarly knowledge graphs,"['Comparison of scholarly knowledge graphs', 'Ontologies for describing scholarly articles', 'Ontologies for describing scholarly articles']","['R78023', 'R8342', 'R8342']",[0.7814981 0.5728284 0.5728284],1
HQ0029,How many studies are published after 2019?,"SELECT (COUNT(?date) AS ?number_of_studies)
WHERE {
  orkgr:R110393 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P9040 ?date.
  filter(?date > ""2019""^^xsd:string)
}",R110393,The Use of Silicon Carbide Thin Films in Different Device Types,"['Pilot mini collection of studies on libraries as third places.', 'COVID-19 Reproductive Number Estimates', 'Comparison of scholarly knowledge graphs']","['R110361', 'R44930', 'R78023']",[0.4385382  0.29524207 0.2951927 ],0
HQ0044,What is the total number of species examined in the studies?,"SELECT (SUM(?number) AS ?total)
WHERE {
  orkgr:R58002 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P31024 ?number_of_species.
  BIND(xsd:integer(?number_of_species) AS ?number)
}",R58002,Invasion Biology- Enemy release hypothesis,"['COVID-19 Reproductive Number Estimates', 'Genetic variability (COI variation) in studies large sampled (>1000 sequences)', 'Assessment of picophytoplankton abundance in the Indian Ocean']","['R44930', 'R149849', 'R155584']",[0.39728868 0.36698136 0.31543192],0
HQ0036,What is the full name of the EXPO ontology?,"SELECT ?full_name
WHERE {
  orkgr:R8342 orkgp:compareContribution ?cont.
  ?cont orkgp:P7034 ?ontology.
  ?ontology rdfs:label ?ont_lbl;
            orkgp:P7035 ?full_name. 
  FILTER(REGEX(STR(?ont_lbl), ""expo"", ""i""))
}",R8342,Ontologies for describing scholarly articles,"['Ontologies for describing scholarly articles', 'Ontologies for describing scholarly articles', 'Ontologies for describing scholarly articles']","['R8342', 'R8342', 'R8342']",[0.52239907 0.52239907 0.52239907],1
HQ0073,Do all studies include open ocean sampling?,"ASK {
  {
    SELECT (COUNT(?ocean_sampling) AS ?counter)
    WHERE {
      orkgr:R155561 orkgp:compareContribution ?contrib.
      ?contrib orkgp:P41379 ?ocean_sampling.
      FILTER(?ocean_sampling = ""F""^^xsd:string)
    }
  }
  FILTER(?counter = 0)
}",R155561 ,Assessment of picophytoplankton abundance in the Ocean,"['Assessment of picophytoplankton abundance in the Ocean', 'Assessment of picophytoplankton abundance in the Indian Ocean', 'Pilot mini collection of studies on libraries as third places.']","['R155561 ', 'R155584', 'R110361']",[0.35771644 0.32847393 0.32722178],1
HQ0004,Who is responsible for acquisition in the RASH system?,"SELECT ?acq
WHERE {
  orkgr:R8364 orkgp:compareContribution ?cont.
  ?cont orkgp:P7046 orkgr:R8350.
  orkgr:R8350 orkgp:P7049 ?acq.
}",R8364,Semantic representations of scholarly communication,"['Invasion Biology- Enemy release hypothesis', 'Toxins produced by phytopathogenic Pseudomonas species and pathovars', 'Trends and methodological implications of psychodrama psychotherapy research']","['R58002', 'R69027', 'R44980']",[0.23909459 0.15968095 0.14071305],0
HQ0015,What is the maximum sample size?,"SELECT ?sample_size
WHERE {
  orkgr:R135371 orkgp:compareContribution ?cont.
  ?cont orkgp:P15687 ?sample_size
}
ORDER BY DESC(?sample_size)
LIMIT 1",R135371,Comparison of Impact of Covid-19 on mobility behaviour,"['Genetic variability (COI variation) in studies large sampled (>1000 sequences)', 'COVID-19 Reproductive Number Estimates', 'Assessment of picophytoplankton abundance in the Ocean']","['R149849', 'R44930', 'R155561 ']",[0.40153027 0.24126863 0.14489853],0
HQ0030,Which toxins do pseudomonas species produce?,"SELECT DISTINCT ?toxins, ?toxins_labels
WHERE {
  orkgr:R69027 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P34037 ?toxins.
  ?toxins rdfs:label ?toxins_labels.
}",R69027,Toxins produced by phytopathogenic Pseudomonas species and pathovars,"['Toxins produced by phytopathogenic Pseudomonas species and pathovars', 'Anuran antimicrobial peptides activity and mechanism against different biological membranes', 'Invasion Biology- Enemy release hypothesis']","['R69027', 'R75638', 'R58002']",[0.8105704  0.3215635  0.20456931],1
HQ0035,Which scenario factsheets from the Open Energy Platform are used in studies with public funding?,"SELECT ?paper
WHERE {
  orkgr:R113171 orkgp:compareContribution ?cont.
  ?paper orkgp:P31 ?cont.
  ?cont orkgp:P37586 ?hasFacts.
  ?hasFacts orkgp:P37675 ?study.
  ?study orkgp:P37663 ?sourceOfFunding.
  FILTER(REGEX(?sourceOfFunding, ""public""))
}",R113171,Comparison of Scenario Factsheets from the Open Energy Platform,"['Comparison of Scenario Factsheets from the Open Energy Platform', 'Comparison of Scenario Factsheets from the Open Energy Platform', ""Comparison of Scenario Factsheets from the Open Energy Platform; Comparison of Studies on Germany's Energy Supply in 2050""]","['R150337', 'R113171', 'R150337; R153801']",[0.7908752  0.7908752  0.73131955],1
HQ0054,What is the minimum and maximum installed capacity for each energy source considered?,"SELECT ?energy_sources_labels (MIN(?installed_cap_value) AS ?min_installed_cap_value) (MAX(?installed_cap_value) AS ?max_installed_cap_value)
WHERE {
  orkgr:R153801 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P43135 ?energy_sources.
  ?energy_sources rdfs:label ?energy_sources_labels;
                  orkgp:P43133 ?installed_capacity.
  ?installed_capacity orkgp:HAS_VALUE ?value.
  BIND(xsd:float(?value) AS ?installed_cap_value)
}",R153801,Comparison of Studies on Germany's Energy Supply in 2050,"[""Comparison of Scenario Factsheets from the Open Energy Platform; Comparison of Studies on Germany's Energy Supply in 2050"", ""Comparison of Studies on Germany's Energy Supply in 2050"", ""Comparison of Studies on Germany's Energy Supply in 2050""]","['R150337; R153801', 'R153801', 'R153801']",[0.39255458 0.3755758  0.3755758 ],1
HQ0056,What is the average installed capacity for each energy source considered in 5 year intervals?,"SELECT ?rangeId ?energy_sources_labels (AVG(?installed_cap_value AS ?avg_installed_cap_value))
WHERE {
  orkgr:R153801 orkgp:compareContribution ?contrib.
  ?paper orkgp:P31 ?contrib;
         orkgp:P29 ?year.
  BIND(xsd:int(?year) AS ?y).
  VALUES(?rangeId ?min ?max) {
    (""2001-2005"" 2001 2005)
    (""2006-2010"" 2006 2010)
    (""2011-2015"" 2011 2015)
    (""2016-2020"" 2016 2020)
  }
  FILTER(?min <= ?y && ?y <= ?max).
  ?contrib orkgp:P43135 ?energy_sources.
  ?energy_sources rdfs:label ?energy_sources_labels;
                  orkgp:P43133 ?installed_capacity.
  ?installed_capacity orkgp:HAS_VALUE ?value.
  BIND(xsd:float(?value) AS ?installed_cap_value).
}
ORDER BY ASC(?rangeId)",R153801,Comparison of Studies on Germany's Energy Supply in 2050,"[""Comparison of Studies on Germany's Energy Supply in 2050"", ""Comparison of Studies on Germany's Energy Supply in 2050"", ""Comparison of Studies on Germany's Energy Supply in 2050""]","['R153801', 'R153801', 'R153801']",[0.45268923 0.45268923 0.45268923],1
HQ0034,How many studies do use Chloride as major anion?,"SELECT COUNT(?anions_labels) AS ?chloride_count
WHERE {
  orkgr:R110597 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P37458 ?anions.
  ?anions rdfs:label ?anions_labels.
  FILTER(REGEX(?anions_labels, ""Chloride""^^xsd:string))
}",R110597,Sources of major ion evolution in groundwater chemistry of developing urban areas,"['Sources of major ion evolution in groundwater chemistry of developing urban areas', 'Pilot mini collection of studies on libraries as third places.', 'Anuran antimicrobial peptides activity and mechanism against different biological membranes']","['R110597', 'R110361', 'R75638']",[0.35766107 0.26892924 0.22319897],1
HQ0033,What risk factors for OSA are discovered in the paper with 100% OSA frequency?,"SELECT ?risk_factors, ?risk_factors_labels
WHERE {
  orkgr:R110932 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P37530 ?osa_frequency.
  ?osa_frequency rdfs:label ?osa_frequency_values.
  ?contrib orkgp:P37528 ?risk_factors.
  ?risk_factors rdfs:label ?risk_factors_labels.
  FILTER(REGEX(?osa_frequency_values, ""100""^^xsd:string))
}",R110932,Comparison of the frequency of obstructive sleep apnea (OSA) in patients with mucopolysaccharidosis (MPS),"['Genetic variability (COI variation) in studies large sampled (>1000 sequences)', 'QA evaluations on QALD-6', 'QA evaluations on QALD-5']","['R149849', 'R6898', 'R6946']",[0.23866022 0.21120214 0.20588912],0
HQ0048,What is the maximum female percentage?,"SELECT ?female_percantage
WHERE {
  orkgr:R44978 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P23154 ?female_percantage.
}
ORDER BY DESC(?female_percantage)
LIMIT 1",R44978,Brief psychotherapy for depression studies,"['COVID-19 Reproductive Number Estimates', 'Assessment of picophytoplankton abundance in the Ocean', 'Prevalence of epilepsy in Europe']","['R44930', 'R155561 ', 'R75729']",[0.42111492 0.14653261 0.13349296],0
